coordinates,created_at,favorite_count,favorited,geo,id,in_reply_to_screen_name,in_reply_to_status_id,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,source,source_url,text,truncated
,2018-10-14 22:44:59,0,False,,1051604811530072066,,,False,en,,Unavailable,9731,False,Twitter for iPhone,http://twitter.com/download/iphone,"RT @realDonaldTrump: I will be interviewed on “60 Minutes” tonight at 7:00 P.M., after NFL game. Enjoy!",False
,2018-10-14 19:54:20,51810,False,,1051561865061502977,,,True,en,,False,13051,False,Twitter for iPhone,http://twitter.com/download/iphone,Thank you to NBC for the correction! https://t.co/L2mX3vREOl,False
,2018-10-14 19:45:05,45492,False,,1051559539605164034,,,True,en,,False,9186,False,Twitter for iPhone,http://twitter.com/download/iphone,Thank you! https://t.co/CrExOML9Mi,False
,2018-10-14 19:44:20,0,False,,1051559350047821826,,,False,und,,False,4885,False,Twitter for iPhone,http://twitter.com/download/iphone,RT @IVT2020: @realDonaldTrump https://t.co/cvYbnieQ4H,False
,2018-10-14 19:39:16,48219,False,,1051558072433463297,,,False,en,,Unavailable,9731,False,Twitter for iPhone,http://twitter.com/download/iphone,"I will be interviewed on “60 Minutes” tonight at 7:00 P.M., after NFL game. Enjoy!",False
,2018-10-14 14:02:07,57648,False,,1051473226109513728,,,False,en,,Unavailable,8836,False,Twitter for iPhone,http://twitter.com/download/iphone,"Princess Eugenie of York was a truly beautiful bride yesterday. She has been through so much, and has come out a total winner!",False
,2018-10-14 13:56:12,97554,False,,1051471737068670977,,,False,en,,Unavailable,26934,False,Twitter for iPhone,http://twitter.com/download/iphone,NBC News has totally and purposely changed the point and  meaning of my story about General Robert E Lee and Genera… https://t.co/SG1khGsORo,True
,2018-10-14 03:53:09,90044,False,,1051319975795933184,,,False,en,,Unavailable,18545,False,Twitter for iPhone,http://twitter.com/download/iphone,"Congratulations to Tucker Carlson on the great success of his book, “Ship of Fools.” It just went to NUMBER ONE!",False
,2018-10-14 03:42:43,79075,False,,1051317348496490496,,,False,en,,Unavailable,15822,False,Twitter for iPhone,http://twitter.com/download/iphone,"Big day! Pastor Andrew Brunson, who could have spent 35 years in a Turkish prison, was returned safely home to his… https://t.co/Ot4N28DFoe",True
,2018-10-14 01:16:43,48856,False,,1051280606536105984,,,False,en,,False,11702,False,Twitter for iPhone,http://twitter.com/download/iphone,"Thank you Kentucky! #MAGA??
https://t.co/iCUqrQ91gF https://t.co/xwsa1S2dIU",False
,2018-10-13 21:06:19,41193,False,,1051217592554323973,,,False,en,,False,9378,False,Twitter for iPhone,http://twitter.com/download/iphone,"On my way to Richmond, Kentucky for a MAKE AMERICA GREAT AGAIN rally at 7:00pmE. The crowds are once again, massive… https://t.co/Jx7NFLlBcw",True
,2018-10-13 20:48:09,78940,False,,1051213021115285504,,,False,en,,False,18764,False,Twitter for iPhone,http://twitter.com/download/iphone,WELCOME HOME PASTOR ANDREW BRUNSON! https://t.co/HijeAGU1gy,False
,2018-10-13 20:42:22,45309,False,,1051211563946975233,,,False,und,,False,10880,False,Twitter for iPhone,http://twitter.com/download/iphone,https://t.co/uIaENHQoPK,False
,2018-10-13 17:52:26,67184,False,,1051168800324931584,,,False,en,,Unavailable,15505,False,Twitter for iPhone,http://twitter.com/download/iphone,"Heading to the Great State of Kentucky - Big Rally for Congressman Andy Barr - Fantastic guy, need his vote for MAG… https://t.co/lij3Xifvbf",True
,2018-10-13 17:43:02,84719,False,,1051166436029358081,,,False,en,,Unavailable,25036,False,Twitter for iPhone,http://twitter.com/download/iphone,Highly respected Congressman Keith Rothfus (R) of Pennsylvania is in the fight of his life because the Dems changed… https://t.co/BBhPq05XoC,True
,2018-10-13 17:03:06,68880,False,,1051156386179141632,,,False,en,,Unavailable,14410,False,Twitter for iPhone,http://twitter.com/download/iphone,“From a Turkish prison to the White House in 24 hours.”  Kristin Fisher of @FoxNews   Very cool!,False
,2018-10-13 14:17:57,96208,False,,1051114825391239169,,,False,en,,Unavailable,23769,False,Twitter for iPhone,http://twitter.com/download/iphone,There was NO DEAL made with Turkey for the release and return of Pastor Andrew Brunson. I don’t make deals for host… https://t.co/igiQXPfKSv,True
,2018-10-13 14:06:26,70951,False,,1051111923788513281,,,False,en,,Unavailable,16733,False,Twitter for iPhone,http://twitter.com/download/iphone,"Pastor Andrew Brunson, released by Turkey, will be with me in the Oval Office at 2:30 P.M. (this afternoon). It wil… https://t.co/j4x6lohKsr",True
,2018-10-13 13:31:27,53142,False,,1051103122163204097,,,False,en,,False,12206,False,Twitter for iPhone,http://twitter.com/download/iphone,Happy 243rd Birthday to our GREAT @USNavy! #243NavyBday https://t.co/m1YtoKSHFw,False
,2018-10-13 01:17:01,0,False,,1050918295690465280,,,False,en,,Unavailable,11035,False,Twitter for iPhone,http://twitter.com/download/iphone,"RT @realDonaldTrump: Don’t miss our GREAT @FLOTUS, Melania, on @ABC @ABC2020 tonight at 10pmE. Enjoy!",False
,2018-10-13 00:30:16,45037,False,,1050906531162677248,,,False,en,,False,10336,False,Twitter for iPhone,http://twitter.com/download/iphone,"Beautiful MAKE AMERICA GREAT AGAIN rally in Lebanon, Ohio. Thank you! #ICYMI, watch here: https://t.co/UGQAmARPKR https://t.co/6nsoV8yTx3",False
,2018-10-12 22:14:44,83883,False,,1050872423317471232,,,False,en,,False,20889,False,Twitter for iPhone,http://twitter.com/download/iphone,"The GREAT football (and lacrosse) player, Jim Brown outside the West Wing of the @WhiteHouse. He is also a tremendo… https://t.co/p7FLWOAg68",True
,2018-10-12 22:02:19,42387,False,,1050869299567562752,,,False,und,,False,10106,False,Twitter for iPhone,http://twitter.com/download/iphone,https://t.co/HHTwwbuKa2,False
,2018-10-12 21:30:27,0,False,,1050861279529893888,,,False,und,,False,8634,False,Twitter for iPhone,http://twitter.com/download/iphone,RT @WhiteHouse: https://t.co/IqLBKtgNEf,False
,2018-10-12 19:37:27,35950,False,,1050832839678353410,,,False,en,,False,8147,False,Twitter for iPhone,http://twitter.com/download/iphone,Happy #NationalFarmersDay! With the recent #USMCA our GREAT FARMERS will do better than ever before!! https://t.co/PMS4z2EScY,False
,2018-10-12 19:10:51,54177,False,,1050826148131860480,,,False,en,,Unavailable,11035,False,Twitter for iPhone,http://twitter.com/download/iphone,"Don’t miss our GREAT @FLOTUS, Melania, on @ABC @ABC2020 tonight at 10pmE. Enjoy!",False
,2018-10-12 18:09:17,80023,False,,1050810652271529984,,,False,en,,Unavailable,16725,False,Twitter for iPhone,http://twitter.com/download/iphone,People have no idea how hard Hurricane Michael has hit the great state of Georgia. I will be visiting both Florida… https://t.co/YoYRIV22Ji,True
,2018-10-12 16:43:13,57994,False,,1050788995377049601,,,False,en,,False,18097,False,Twitter for iPhone,http://twitter.com/download/iphone,"PROMISES MADE, PROMISES KEPT! https://t.co/2lk8Fjspe4",False
,2018-10-12 15:57:52,41316,False,,1050777580553588738,,,True,en,,False,13545,False,Twitter for iPhone,http://twitter.com/download/iphone,REGISTER TO VOTE! https://t.co/0pWiwCHGbh https://t.co/EOCLoJJ24B,False
,2018-10-12 14:26:00,123323,False,,1050754462405537798,,,False,en,,Unavailable,27478,False,Twitter for iPhone,http://twitter.com/download/iphone,PASTOR BRUNSON JUST RELEASED. WILL BE HOME SOON!,False
,2018-10-12 13:59:06,75830,False,,1050747691062493185,,,False,en,,Unavailable,13699,False,Twitter for iPhone,http://twitter.com/download/iphone,"My thoughts and prayers are with Pastor Brunson, and we hope to have him safely back home soon!",False
,2018-10-12 13:54:46,74273,False,,1050746600916754432,,,False,en,,Unavailable,13924,False,Twitter for iPhone,http://twitter.com/download/iphone,"So nice, everyone wants Ivanka Trump to be the new United Nations Ambassador. She would be incredible, but I can al… https://t.co/Dab4lBqUNq",True
,2018-10-12 13:42:04,66164,False,,1050743405578457093,,,False,en,,Unavailable,12413,False,Twitter for iPhone,http://twitter.com/download/iphone,Working very hard on Pastor Brunson!,False
,2018-10-11 22:49:26,0,False,,1050518765828489217,,,False,en,,Unavailable,6716,False,Twitter for iPhone,http://twitter.com/download/iphone,"RT @FLGuard: There are serious communication issues in the Panhandle after #HurricaneMichael. If you are worried about someone, visit https…",False
,2018-10-11 22:14:23,0,False,,1050509946880708611,,,False,en,,False,6004,False,Twitter for iPhone,http://twitter.com/download/iphone,RT @WhiteHouse: President Trump provides an update on the response to Hurricane Michael: https://t.co/zmnHXKakYw,False
,2018-10-11 17:23:27,0,False,,1050436733039534080,,,False,en,,Unavailable,15411,False,Twitter for iPhone,http://twitter.com/download/iphone,"RT @WhiteHouse: Moments ago, President Trump signed the Music Modernization Act, which will close loopholes in our digital royalty laws to…",False
,2018-10-11 16:21:53,41134,False,,1050421238429077505,,,False,und,,False,8972,False,Media Studio,https://studio.twitter.com,https://t.co/xJ9QYGMJXa,False
,2018-10-11 14:43:33,37698,False,,1050396488839430144,,,False,und,,False,8876,False,Media Studio,https://studio.twitter.com,https://t.co/rsxEwbFZht,False
,2018-10-11 14:41:01,38232,False,,1050395852466995202,,,False,und,,False,8695,False,Media Studio,https://studio.twitter.com,https://t.co/h47S6T9u8V,False
,2018-10-11 03:44:00,82246,False,,1050230507689189381,,,False,en,,False,18438,False,Twitter for iPhone,http://twitter.com/download/iphone,"Florida Highway Patrol Troopers are all en route to the Panhandle, from all across the state of Florida - to help t… https://t.co/FWP05H9NSv",True
,2018-10-11 01:35:15,47377,False,,1050198107969982464,,,True,en,,False,9784,False,Twitter for iPhone,http://twitter.com/download/iphone,Thank you to @FEMA and all First Responders! #HurricaneMichael https://t.co/vwN8BbrkkJ,False
,2018-10-11 01:33:21,46433,False,,1050197632524660736,,,True,en,,False,10332,False,Twitter for iPhone,http://twitter.com/download/iphone,Thank you Jacksonville Sheriff’s Office! #HurricaneMichael https://t.co/fuy7stLMJI,False
,2018-10-11 01:00:18,91414,False,,1050189312904581120,,,False,en,,False,23685,False,Twitter for iPhone,http://twitter.com/download/iphone,"Massive overflow crowd tonight in Erie, Pennsylvania. THANK YOU to everyone who came out and joined us. Together, w… https://t.co/bUn2dwuE1X",True
,2018-10-11 00:52:29,45300,False,,1050187347860627456,,,False,en,,False,11196,False,Twitter for iPhone,http://twitter.com/download/iphone,"Thank you Erie, Pennsylvania! Remember to get out and VOTE! #MAGA?? https://t.co/X8IEW8h9qP",False
,2018-10-10 22:33:48,0,False,,1050152447119908864,,,True,en,,Unavailable,3652,False,Twitter for iPhone,http://twitter.com/download/iphone,RT @fema: It’s extremely important to keep sheltering in a safe place and to stay aware as #Michael continues to move inland! https://t.co/…,False
,2018-10-10 22:33:37,0,False,,1050152401112637440,,,False,en,,Unavailable,3203,False,Twitter for iPhone,http://twitter.com/download/iphone,"RT @USNationalGuard: LIVE UPDATE: @AlabamaNG, @GeorgiaGuard, @FLGuard and @NCNationalGuard vehicles and personnel are staged and ready to p…",False
,2018-10-10 21:05:08,0,False,,1050130133410045952,,,False,en,,Unavailable,4605,False,Twitter for iPhone,http://twitter.com/download/iphone,"RT @WhiteHouse: Earlier today: President @realDonaldTrump, joined by Homeland Security @SecNielsen, listens as @FEMA_Brock briefs reporters…",False
,2018-10-10 21:01:55,53200,False,,1050129323724816388,,,False,en,,False,11737,False,Twitter for iPhone,http://twitter.com/download/iphone,Couldn’t let these great people down. They have been lined up since last night - see you soon Pennsylvania! https://t.co/jSrsmncw85,False
,2018-10-10 19:52:23,79284,False,,1050111823842893824,,,False,en,,Unavailable,14857,False,Twitter for iPhone,http://twitter.com/download/iphone,"Departing the @WhiteHouse for Erie, Pennsylvania. I cannot disappoint the thousands of people that are there - and… https://t.co/f63EzMSJvE",True
,2018-10-10 17:39:59,0,False,,1050078505705373697,,,False,en,,Unavailable,9211,False,Twitter for iPhone,http://twitter.com/download/iphone,"RT @USATODAY: .@usatodayopinion: Democrats want to outlaw private health care plans, taking away freedom to choose plans while letting anyo…",False
,2018-10-10 16:52:17,0,False,,1050066499342401536,,,False,en,,False,5423,False,Twitter for iPhone,http://twitter.com/download/iphone,"RT @FLGuard: #HurricaneMichael is here, but so are we. Stay safe, Florida. #FloridaFirst #FLNGAlwaysThere https://t.co/e2rVNXFERp",False
,2018-10-10 16:43:12,0,False,,1050064211919933442,,,False,en,,Unavailable,7077,False,Twitter for iPhone,http://twitter.com/download/iphone,"RT @EricTrump: All my friends in Missouri, today is your LAST CHANCE to register to vote this November! It is very easy to do - simply go t…",False
,2018-10-10 16:05:55,53185,False,,1050054830843199490,,,False,en,,False,12149,False,Twitter for iPhone,http://twitter.com/download/iphone,"We are with you Florida! https://t.co/qzrVLeFbyF
https://t.co/HVVhSmBg7S https://t.co/rcB6OCwLeH",False
,2018-10-10 13:01:05,92614,False,,1050008315286171648,,,False,en,,Unavailable,25441,False,Twitter for iPhone,http://twitter.com/download/iphone,"Despite so many positive events and victories, Media Reseach Center reports that 92% of stories on Donald Trump are… https://t.co/YHfGjfMThn",True
